"File","Alt","Title"
"cho-con-hoc-them-hay-tu-hoc-o-nha","Bé châu Á đang học với nhiều lựa chọn","Cho con học thêm hay tự học ở nhà? – Mình cân nhắc rồi chọn"
"chon-lop-soroban-hay-hoc-online","Lựa chọn lớp học Soroban hay học online tại nhà","Lớp học, gia sư hay online – mình đã chọn cách nào cho con?"
"con-4-tuoi-hoc-soroban-co-som-qua-khong","Bé 4 tuổi châu Á đang chơi đồ chơi số","Con 4 tuổi – mình phân vân không biết cho học Soroban sớm có tốt không"
"con-biet-tinh-nhung-doc-de-khong-hieu","Trẻ em châu Á cần hỗ trợ đọc hiểu đề toán","Con biết tính nhưng đọc đề không hiểu – hóa ra không phải lỗi toán"
"con-dem-tren-ngon-tay-co-sao-khong","Bé châu Á đếm trên ngón tay khi làm bài","Con đếm trên ngón tay – mình từng lo lắm, giờ thì hết"
"con-ghet-toan-chi-thich-doc-sach","Bé gái châu Á đang đọc sách say mê","Con ghét toán, chỉ thích đọc sách – mình từng lo con ""lệch"""
"con-hay-lam-sai-phep-tinh-don-gian","Bé châu Á nhìn bài làm với vẻ bối rối","Con hay làm sai phép tính đơn giản – mình từng tức giận, giờ hiểu hơn"
"con-hay-lam-sai-phep-tru-co-nho","Bé châu Á đang làm phép tính trừ","Con hay làm sai phép trừ có nhớ – Mình chỉ con kiểu này"
"con-hay-quen-bang-cuu-chuong","Mẹ châu Á giúp con nhớ bảng cửu chương","Con học thuộc bảng cửu chương rồi lại quên – mình đã thử cách khác"
"con-hoc-soroban-co-giup-thi-vao-lop-6-khong","Học sinh châu Á đang làm bài thi với vẻ tự tin","Con học Soroban có giúp thi vào lớp 6 không?"
"con-hoc-soroban-nhung-diem-toan-van-thap","Mẹ châu Á nhìn bài kiểm tra toán của con với vẻ lo lắng","Con học Soroban 3 tháng mà điểm vẫn thế – mình từng muốn bỏ cuộc"
"con-hoc-soroban-nhung-khong-thich-luyen-tap","Bé châu Á với bàn tính Soroban và vẻ không muốn học","Con học Soroban nhưng không thích luyện tập – Mình làm thế này"
"con-hoc-soroban-nhung-o-truong-day-cach-khac","Bé châu Á đang học với sách giáo khoa và tablet","Con học Soroban nhưng ở trường dạy khác – có bị loạn không?"
"con-hoc-toan-cham-co-that-la-do-con","Mẹ châu Á kiên nhẫn kèm con học - con chậm không do con","Con học toán chậm hơn bạn – mình đã lo sai chỗ"
"con-hoc-toan-gioi-nhung-khong-thich-toan","Bé châu Á với vẻ mặt chán nản khi học toán","Con học toán giỏi nhưng không thích toán – Có sao không?"
"con-hoc-toan-online-co-tot-khong","Bé châu Á học qua tablet với vẻ tập trung","Mình lo con học online – nhưng 6 tháng sau thì hết lo"
"con-hoc-toan-tot-nhung-giai-toan-do-cham","Bé châu Á đang đọc đề toán với vẻ suy nghĩ","Con tính toán nhanh nhưng giải toán đố chậm – vấn đề ở đâu?"
"con-hoc-toan-tot-o-truong-nhung-ve-nha-khong-lam-duoc","Bé châu Á làm bài tập ở nhà với vẻ bối rối","Con học toán tốt ở trường nhưng về nhà không làm được?"
"con-khoc-moi-khi-lam-bai-toan","Bé gái châu Á buồn bên cạnh vở bài tập","Con khóc mỗi khi mở vở toán – mình đau lòng không biết làm gì"
"con-khong-nghe-loi-khi-bo-me-day-toan","Mẹ châu Á ôm con - cách xử lý khi con không nghe lời học toán","Con không nghe lời khi bố mẹ dạy toán – mình đã làm sai gì?"
"con-khong-tap-trung-khi-hoc-toan","Bé trai châu Á ngồi học nhưng mắt nhìn đi nơi khác","Con không tập trung nổi 5 phút khi học toán – mình từng nghĩ con bị tăng động"
"con-khong-thich-hoc-chi-thich-choi","Bé châu Á đang chơi đồ chơi vui vẻ","Con chỉ thích chơi, không thích học – mình từng lo, giờ thì khác"
"con-lam-toan-cham-hon-ban","Trẻ em châu Á tập trung học toán theo tốc độ riêng","Con làm bài chậm, bạn nộp rồi con chưa xong – mình từng rất lo"
"con-lam-toan-dung-nhung-cham","Bé châu Á đang làm bài tập với đồng hồ bên cạnh","Con làm toán đúng nhưng chậm – Có cần lo không?"
"con-lop-1-chua-biet-cong-tru-tram-vi","Bé lớp 1 châu Á đang học cộng trừ","Con lớp 1 chưa biết cộng trừ trong phạm vi 10 – mình có lo quá không?"
"con-lop-1-khong-nhan-mat-so","Bé châu Á đang nhìn bảng số với vẻ bối rối","Con lớp 1 không nhận mặt số – mình từng nghĩ con chậm"
"con-lop-3-van-dem-tay-binh-thuong-khong","Bé châu Á ngồi học với hai bàn tay đang đếm","Con lớp 3 vẫn đếm tay – mình lo quá hỏi hết mọi người"
"con-noi-con-ghet-toan-minh-da-phan-ung-sai","Bố động viên con khi con nói ghét toán","Con nói ""con ghét toán"" – mình đã phản ứng sai thế nào?"
"con-so-hoc-toan-phu-huynh-dang-lam-sai-o-dau","Trẻ em châu Á lo lắng khi học toán tại nhà","Con sợ toán – mình đã vô tình làm gì sai?"
"con-so-kiem-tra-toan","Trẻ em châu Á căng thẳng trước bài kiểm tra toán","Con sợ kiểm tra toán đến mức đau bụng – mình mới hiểu vì sao"
"con-so-toan-vi-me-tung-la-con","Mẹ châu Á ngồi cạnh con với vẻ mặt hối hận","Con sợ toán vì mẹ từng la con – Mình nhận ra muộn"
"con-thi-tot-nhung-lam-bai-tap-thi-sai","Bé châu Á làm bài tập ở nhà","Con thi thì tốt, làm bài tập thì sai – mình từng không hiểu"
"con-tinh-cong-tru-cham-qua","Bé châu Á ngồi làm bài với vẻ lo lắng","Con tính cộng trừ chậm quá – bạn bè làm xong con còn đang đếm"
"con-tinh-nham-hay-sai-do-dau","Bé châu Á đang suy nghĩ tính toán","Con tính nhẩm hay sai – Do đâu và sửa thế nào?"
"con-tinh-toan-can-than-nhung-hay-doc-nham-de-bai","Bé châu Á đang đọc đề bài với vẻ tập trung","Con tính toán cẩn thận nhưng hay đọc nhầm đề bài"
"con-trai-va-con-gai-hoc-toan-khac-nhau-khong","Bé gái châu Á đang làm toán tự tin","Con trai và con gái học toán khác nhau không? – Sự thật mình tìm hiểu được"
"dau-hieu-con-can-ho-tro-them-ve-toan","Mẹ châu Á nhìn con học với vẻ lo lắng","5 dấu hiệu con cần được hỗ trợ thêm về toán – mình từng bỏ qua"
"day-con-toan-khong-can-giao-vien","Bé châu Á tự học ở nhà với sách và tablet","Mình không đủ tiền cho con học thêm – nhưng con vẫn học tốt"
"day-con-toan-qua-tro-choi-hang-ngay","Mẹ và con châu Á đi siêu thị cùng nhau","Mình dạy con toán lúc đi siêu thị – không ai biết đang học"
"dong-hanh-cung-con-hoc-toan-la-gi","Gia đình châu Á đồng hành cùng con học toán","Mình từng nghĩ đồng hành là ngồi kèm con học – hóa ra sai hoàn toàn"
"flashcard-soroban-co-can-thiet-khong","Mẹ và con châu Á học với flashcard","Mình từng mua flashcard Soroban – đây là điều mình học được"
"hai-chi-em-hoc-toan-khac-nhau","Hai chị em châu Á đang ngồi học bài","Hai chị em nhà mình học toán hoàn toàn khác – cùng mẹ mà sao thế?"
"he-nay-cho-con-hoc-gi-de-khong-quen-toan","Bé châu Á học hè vui vẻ","Hè này cho con học gì để không quên toán? – Mình chọn cách nhẹ nhàng"
"hoc-soroban-co-can-biet-tieng-nhat-khong","Bé Việt Nam học Soroban","Học Soroban có cần biết tiếng Nhật không? – Câu hỏi mình từng thắc mắc"
"hoc-soroban-co-can-mua-ban-tinh-khong","Bàn tính Soroban bên cạnh tablet","Học Soroban có cần mua bàn tính không? – Mình đã mua rồi đây là review"
"hoc-soroban-mat-bao-lau-de-tinh-nham-duoc","Thời gian cần thiết để trẻ học Soroban tính nhẩm được","Học Soroban bao lâu thì con tính nhẩm được? Đừng kỳ vọng như mình"
"hoc-soroban-online-co-phu-hop-cho-phu-huynh-ban-ron","Trẻ học Soroban online tại nhà cho phụ huynh bận rộn","Mình đi làm cả ngày – làm sao kèm con học Soroban?"
"hoc-toan-moi-ngay-15-phut-co-hieu-qua","Bé châu Á ngồi học với đồng hồ bấm giờ","Cho con học toán 15 phút/ngày – tưởng ít nhưng hiệu quả bất ngờ"
"hoc-toan-nhu-choi-game-co-thuc-su-hieu-qua","Mẹ con châu Á vui vẻ học toán như chơi game","Con mình học toán trên app – tưởng chơi game hóa ra học thật"
"kem-con-hoc-toan-ma-hai-me-con-cai-nhau","Mẹ châu Á và con gái ngồi học với vẻ căng thẳng","Kèm con học toán mà hai mẹ con cãi nhau – mình quyết định dừng lại"
"khen-con-khi-hoc-toan-nhu-the-nao","Mẹ châu Á đang khen con với nụ cười","Mình từng khen con sai cách – bây giờ mới biết khen đúng"
"khi-nao-phu-huynh-nen-dung-cong-cu-ho-tro","Mẹ châu Á dùng công cụ hỗ trợ dạy con học","Mình đã cố tự kèm con – đến khi nào thì nên dừng?"
"khong-co-thoi-gian-kem-con-hoc","Mẹ châu Á mệt mỏi về đến nhà","Đi làm về 7h tối – mình không có sức kèm con học nữa"
"lam-gi-khi-con-chan-hoc-soroban","Bé châu Á có vẻ chán khi học","Con học Soroban được 2 tháng rồi chán – mình làm thế này"
"lam-sao-biet-con-hoc-soroban-dung-huong","Dấu hiệu nhận biết con học Soroban đúng hướng","Làm sao biết con đang học Soroban đúng hướng?"
"lam-sao-de-con-hoc-toan-khong-ap-luc","Mẹ con châu Á vui vẻ - học toán không áp lực","Con học toán mà không khóc – hóa ra có thể"
"lam-sao-de-con-tu-giac-hoc-toan","Bé châu Á tự ngồi học bài không cần nhắc","5 cách mình làm để con tự giác học toán mà không cần nhắc"
"lo-trinh-hoc-soroban-cho-tre","Lộ trình học Soroban cho trẻ em từ cơ bản đến nâng cao","Lộ trình học Soroban cho trẻ – Từ zero đến tính nhẩm"
"may-tuoi-cho-con-hoc-soroban-la-phu-hop","Độ tuổi phù hợp cho trẻ bắt đầu học Soroban","Con mấy tuổi thì nên học Soroban? Mình đã tìm hiểu thế này"
"may-tuoi-hoc-soroban-la-tot-nhat","Bé 7 tuổi châu Á đang học với bàn tính Soroban","Mình cho con học Soroban lúc 7 tuổi – có muộn không?"
"minh-do-toan-nhung-van-muon-con-gioi-toan","Mẹ châu Á nhìn con học với vẻ lo lắng","Mình dở toán từ nhỏ – sợ con giống mình nên lo quá"
"minh-phan-van-kumon-hay-soroban","Mẹ châu Á đang suy nghĩ bên cạnh con gái","Mình từng mất cả tuần phân vân giữa Kumon và Soroban"
"ong-ba-day-con-sai-cach","Ông châu Á ngồi dạy cháu học bài","Ông bà dạy con theo kiểu cũ – mình không biết nói sao"
"phep-chia-tren-soroban","Trẻ em học phép chia trên bàn tính Soroban","Phép chia trên Soroban – Hướng dẫn chi tiết cho phụ huynh"
"phep-cong-co-nho-thuc-hanh-soroban","Trẻ em thực hành phép cộng có nhớ trên bàn tính Soroban","Phép cộng có nhớ trên Soroban – Thực hành với ví dụ cụ thể"
"phep-cong-don-gian-tren-soroban","Phụ huynh dạy trẻ phép cộng đơn giản trên Soroban","Phép cộng đơn giản trên Soroban – Bước đầu tiên"
"phep-nhan-tren-soroban","Phụ huynh châu Á dạy con phép nhân trên Soroban tại nhà","Phép nhân trên Soroban – Hướng dẫn từng bước cho phụ huynh"
"phep-tru-co-muon-soroban","Trẻ em học phép trừ có mượn trên bàn tính Soroban","Phép trừ có mượn trên Soroban – Thực hành chi tiết"
"phep-tru-don-gian-tren-soroban","Trẻ em châu Á học phép trừ đơn giản trên Soroban tại nhà","Phép trừ đơn giản trên Soroban – Ngược lại với cộng"
"phu-huynh-co-nen-truc-tiep-day-con-hoc-toan-khong","Bố châu Á trực tiếp dạy con học toán tại nhà","Mình đã cố làm giáo viên của con – và đây là bài học"
"phu-huynh-khong-gioi-toan-co-kem-con-hoc-duoc-khong","Mẹ châu Á kèm con học toán dù không giỏi toán","Mình dốt toán từ nhỏ – giờ làm sao kèm con?"
"quy-tac-ban-cua-10-soroban","Trẻ em học quy tắc bạn của 10 trên Soroban","Quy tắc 'Bạn của 10' trong Soroban – Vượt qua giới hạn 1 cột"
"quy-tac-ban-cua-5-soroban","Trẻ em châu Á học quy tắc bạn của 5 trên Soroban","Quy tắc 'Bạn của 5' trong Soroban – Bí quyết cộng trừ nhanh"
"sai-lam-pho-bien-khi-hoc-soroban","Tránh sai lầm phổ biến khi học Soroban","10 sai lầm phổ biến khi học Soroban – Phụ huynh cần biết"
"sai-lam-pho-bien-khi-kem-con-hoc-toan","Tránh sai lầm phổ biến khi kèm con học toán","5 sai lầm mình từng mắc khi kèm con học toán – và cách mình sửa"
"soroban-cho-nguoi-lon-co-hoc-duoc-khong","Mẹ châu Á đang tập dùng bàn tính Soroban","Mình 35 tuổi tập Soroban – để hiểu con đang học gì"
"soroban-co-giup-con-lam-toan-truong-tot-hon","Bé châu Á vui vẻ cầm bài kiểm tra điểm cao","Học Soroban có giúp điểm toán ở trường cao hơn không? – Đây là thực tế"
"soroban-co-that-su-tot-nhu-loi-don","Gia đình châu Á cùng học Soroban tại nhà","Soroban có thật sự tốt như lời đồn? Mình kể thật"
"soroban-giup-tre-tinh-nham-tot-hon-nhu-the-nao","Soroban giúp trẻ châu Á tính nhẩm tốt hơn","Con mình tính nhẩm nhanh hơn – mình nghĩ là nhờ Soroban"
"soroban-la-gi-vi-sao-phu-hop-voi-tre-tieu-hoc","Soroban phù hợp cho trẻ tiểu học châu Á","Mình từng thắc mắc: Soroban là gì mà nhiều người cho con học thế?"
"soroban-tot-cho-nao-phai-khong","Hình minh họa não bộ trẻ em đang hoạt động","Soroban tốt cho não – mình tìm hiểu kỹ xem có thật không"
"tao-thoi-quen-hoc-toan-cho-con","Bé trai châu Á tự giác ngồi học bài","Mình mất 3 tuần để con có thói quen học toán – đây là cách"
"tinh-nham-co-can-thiet-khong","Bé châu Á đang tính nhẩm trong đầu","Có máy tính rồi, tính nhẩm còn cần không? – Mình từng nghĩ không"
"tinh-nham-soroban-anzan","Trẻ em luyện tính nhẩm Soroban Anzan","Tính nhẩm Soroban (Anzan) – Đỉnh cao của học Soroban"
"tre-hieu-dong-can-ho-tro-hoc-toan-the-nao","Bé trai châu Á năng động đang chạy nhảy","Con mình hiếu động quá – học toán 5 phút là ngọ nguậy. Mình làm thế này"
"tu-so-toan-den-yeu-toan-6-thang-hoc-soroban","Bé gái châu Á vui vẻ học toán với bàn tính Soroban cùng mẹ","6 tháng trước con khóc vì toán – giờ con đòi học mỗi ngày"
"ucmas-vs-soroban-online-minh-chon-gi","Mẹ châu Á đang nghiên cứu trên laptop","UCMAS hay Soroban online – cuối cùng mình chọn cái không ngờ"
"vi-sao-cang-kem-con-hoc-toan-ca-nha-cang-met","Mẹ châu Á kiên nhẫn kèm con học toán tại nhà","Mình đã ngồi kèm con học toán đến mức cả hai đều khóc"
